,threashold,tpTrain,fpTrain,fnTrain,tnTrain,tpTest,fpTest,fnTest,tnTest
0,0.0,19,881,0,0,2,98,0,0
1,0.001,19,881,0,0,2,98,0,0
2,0.002,19,881,0,0,2,98,0,0
3,0.003,19,881,0,0,2,98,0,0
4,0.004,19,881,0,0,2,98,0,0
5,0.005,19,881,0,0,2,98,0,0
6,0.006,19,881,0,0,2,98,0,0
7,0.007,19,881,0,0,2,98,0,0
8,0.008,19,881,0,0,2,98,0,0
9,0.009,19,881,0,0,2,98,0,0
10,0.01,19,881,0,0,2,98,0,0
11,0.011,19,881,0,0,2,98,0,0
12,0.012,19,881,0,0,2,98,0,0
13,0.013,19,881,0,0,2,98,0,0
14,0.014,19,881,0,0,2,98,0,0
15,0.015,19,881,0,0,2,98,0,0
16,0.016,19,881,0,0,2,98,0,0
17,0.017,19,881,0,0,2,98,0,0
18,0.018,19,881,0,0,2,98,0,0
19,0.019,19,881,0,0,2,98,0,0
20,0.02,19,881,0,0,2,98,0,0
21,0.021,19,881,0,0,2,98,0,0
22,0.022,19,846,0,35,2,96,0,2
23,0.023,18,813,1,68,2,93,0,5
24,0.024,18,751,1,130,2,87,0,11
25,0.025,17,679,2,202,2,74,0,24
26,0.026,15,630,4,251,2,70,0,28
27,0.027,12,542,7,339,2,57,0,41
28,0.028,11,505,8,376,2,54,0,44
29,0.029,11,488,8,393,2,54,0,44
30,0.03,9,471,10,410,2,53,0,45
31,0.031,8,402,11,479,1,45,1,53
32,0.032,8,369,11,512,1,40,1,58
33,0.033,8,336,11,545,1,36,1,62
34,0.034,8,325,11,556,1,35,1,63
35,0.035,6,278,13,603,1,28,1,70
36,0.036,5,195,14,686,1,19,1,79
37,0.037,3,149,16,732,1,13,1,85
38,0.038,1,87,18,794,0,8,2,90
39,0.039,0,15,19,866,0,1,2,97
40,0.04,0,12,19,869,0,0,2,98
41,0.041,0,10,19,871,0,0,2,98
42,0.042,0,10,19,871,0,0,2,98
43,0.043,0,10,19,871,0,0,2,98
44,0.044,0,9,19,872,0,0,2,98
45,0.045,0,8,19,873,0,0,2,98
46,0.046,0,6,19,875,0,0,2,98
47,0.047,0,6,19,875,0,0,2,98
48,0.048,0,6,19,875,0,0,2,98
49,0.049,0,6,19,875,0,0,2,98
50,0.05,0,6,19,875,0,0,2,98
51,0.051,0,6,19,875,0,0,2,98
52,0.052,0,6,19,875,0,0,2,98
53,0.053,0,6,19,875,0,0,2,98
54,0.054,0,4,19,877,0,0,2,98
55,0.055,0,3,19,878,0,0,2,98
56,0.056,0,3,19,878,0,0,2,98
57,0.057,0,3,19,878,0,0,2,98
58,0.058,0,3,19,878,0,0,2,98
59,0.059,0,3,19,878,0,0,2,98
60,0.06,0,3,19,878,0,0,2,98
61,0.061,0,1,19,880,0,0,2,98
62,0.062,0,1,19,880,0,0,2,98
63,0.063,0,1,19,880,0,0,2,98
64,0.064,0,0,19,881,0,0,2,98
65,0.065,0,0,19,881,0,0,2,98
66,0.066,0,0,19,881,0,0,2,98
67,0.067,0,0,19,881,0,0,2,98
68,0.068,0,0,19,881,0,0,2,98
69,0.069,0,0,19,881,0,0,2,98
70,0.07,0,0,19,881,0,0,2,98
71,0.071,0,0,19,881,0,0,2,98
72,0.072,0,0,19,881,0,0,2,98
73,0.073,0,0,19,881,0,0,2,98
74,0.074,0,0,19,881,0,0,2,98
75,0.075,0,0,19,881,0,0,2,98
76,0.076,0,0,19,881,0,0,2,98
77,0.077,0,0,19,881,0,0,2,98
78,0.078,0,0,19,881,0,0,2,98
79,0.079,0,0,19,881,0,0,2,98
80,0.08,0,0,19,881,0,0,2,98
81,0.081,0,0,19,881,0,0,2,98
82,0.082,0,0,19,881,0,0,2,98
83,0.083,0,0,19,881,0,0,2,98
84,0.084,0,0,19,881,0,0,2,98
85,0.085,0,0,19,881,0,0,2,98
86,0.086,0,0,19,881,0,0,2,98
87,0.087,0,0,19,881,0,0,2,98
88,0.088,0,0,19,881,0,0,2,98
89,0.089,0,0,19,881,0,0,2,98
90,0.09,0,0,19,881,0,0,2,98
91,0.091,0,0,19,881,0,0,2,98
92,0.092,0,0,19,881,0,0,2,98
93,0.093,0,0,19,881,0,0,2,98
94,0.094,0,0,19,881,0,0,2,98
95,0.095,0,0,19,881,0,0,2,98
96,0.096,0,0,19,881,0,0,2,98
97,0.097,0,0,19,881,0,0,2,98
98,0.098,0,0,19,881,0,0,2,98
99,0.099,0,0,19,881,0,0,2,98
100,0.1,0,0,19,881,0,0,2,98
101,0.2,0,0,19,881,0,0,2,98
102,0.3,0,0,19,881,0,0,2,98
103,0.4,0,0,19,881,0,0,2,98
104,0.5,0,0,19,881,0,0,2,98
