,threashold,tpTrain,fpTrain,fnTrain,tnTrain,tpTest,fpTest,fnTest,tnTest
0,0.0,76,3524,0,0,8,392,0,0
1,0.001,76,1615,0,1909,8,172,0,220
2,0.002,76,1039,0,2485,8,110,0,282
3,0.003,76,779,0,2745,8,86,0,306
4,0.004,76,592,0,2932,8,65,0,327
5,0.005,76,479,0,3045,8,52,0,340
6,0.006,76,399,0,3125,8,45,0,347
7,0.007,76,330,0,3194,8,39,0,353
8,0.008,76,255,0,3269,8,30,0,362
9,0.009,76,215,0,3309,8,24,0,368
10,0.01,76,188,0,3336,8,22,0,370
11,0.011,76,165,0,3359,8,19,0,373
12,0.012,76,145,0,3379,8,17,0,375
13,0.013,75,129,1,3395,8,16,0,376
14,0.014,75,123,1,3401,8,15,0,377
15,0.015,75,116,1,3408,8,15,0,377
16,0.016,75,110,1,3414,8,14,0,378
17,0.017,75,105,1,3419,8,14,0,378
18,0.018,75,101,1,3423,8,14,0,378
19,0.019,75,97,1,3427,8,12,0,380
20,0.02,75,92,1,3432,8,12,0,380
21,0.021,75,87,1,3437,8,12,0,380
22,0.022,74,84,2,3440,8,11,0,381
23,0.023,74,78,2,3446,8,8,0,384
24,0.024,74,76,2,3448,8,7,0,385
25,0.025,74,74,2,3450,8,6,0,386
26,0.026,74,73,2,3451,8,6,0,386
27,0.027,74,68,2,3456,8,6,0,386
28,0.028,74,63,2,3461,8,6,0,386
29,0.029,74,61,2,3463,8,6,0,386
30,0.03,74,43,2,3481,8,6,0,386
31,0.031,74,42,2,3482,8,5,0,387
32,0.032,74,42,2,3482,8,5,0,387
33,0.033,74,42,2,3482,8,5,0,387
34,0.034,73,41,3,3483,8,5,0,387
35,0.035,73,39,3,3485,8,5,0,387
36,0.036,73,36,3,3488,8,5,0,387
37,0.037,73,33,3,3491,8,5,0,387
38,0.038,73,33,3,3491,8,5,0,387
39,0.039,73,33,3,3491,8,5,0,387
40,0.04,73,32,3,3492,8,5,0,387
41,0.041,73,30,3,3494,8,5,0,387
42,0.042,73,29,3,3495,8,5,0,387
43,0.043,73,29,3,3495,8,5,0,387
44,0.044,73,29,3,3495,8,5,0,387
45,0.045,73,29,3,3495,8,5,0,387
46,0.046,73,29,3,3495,8,5,0,387
47,0.047,73,29,3,3495,8,5,0,387
48,0.048,73,29,3,3495,8,5,0,387
49,0.049,73,29,3,3495,8,5,0,387
50,0.05,73,29,3,3495,8,5,0,387
51,0.051,73,29,3,3495,8,5,0,387
52,0.052,73,29,3,3495,8,5,0,387
53,0.053,73,29,3,3495,8,5,0,387
54,0.054,73,29,3,3495,8,5,0,387
55,0.055,73,29,3,3495,8,5,0,387
56,0.056,73,28,3,3496,8,5,0,387
57,0.057,73,28,3,3496,8,5,0,387
58,0.058,73,28,3,3496,8,5,0,387
59,0.059,73,28,3,3496,8,5,0,387
60,0.06,73,28,3,3496,8,5,0,387
61,0.061,73,28,3,3496,8,5,0,387
62,0.062,73,28,3,3496,8,5,0,387
63,0.063,73,27,3,3497,8,5,0,387
64,0.064,73,27,3,3497,8,5,0,387
65,0.065,73,27,3,3497,8,5,0,387
66,0.066,73,27,3,3497,8,5,0,387
67,0.067,73,27,3,3497,8,5,0,387
68,0.068,73,26,3,3498,8,5,0,387
69,0.069,73,26,3,3498,8,5,0,387
70,0.07,73,26,3,3498,8,5,0,387
71,0.071,73,26,3,3498,8,5,0,387
72,0.072,73,26,3,3498,8,5,0,387
73,0.073,73,26,3,3498,8,5,0,387
74,0.074,73,26,3,3498,8,5,0,387
75,0.075,73,26,3,3498,8,5,0,387
76,0.076,73,26,3,3498,8,5,0,387
77,0.077,73,26,3,3498,8,5,0,387
78,0.078,73,26,3,3498,8,5,0,387
79,0.079,73,26,3,3498,8,5,0,387
80,0.08,73,26,3,3498,8,5,0,387
81,0.081,73,26,3,3498,8,5,0,387
82,0.082,73,26,3,3498,8,5,0,387
83,0.083,73,26,3,3498,8,5,0,387
84,0.084,73,26,3,3498,8,5,0,387
85,0.085,73,26,3,3498,8,5,0,387
86,0.086,73,26,3,3498,8,5,0,387
87,0.087,73,26,3,3498,8,5,0,387
88,0.088,73,26,3,3498,8,5,0,387
89,0.089,73,26,3,3498,8,5,0,387
90,0.09,73,26,3,3498,8,5,0,387
91,0.091,73,26,3,3498,8,5,0,387
92,0.092,73,26,3,3498,8,5,0,387
93,0.093,73,26,3,3498,8,5,0,387
94,0.094,73,26,3,3498,8,5,0,387
95,0.095,73,26,3,3498,8,5,0,387
96,0.096,73,25,3,3499,8,5,0,387
97,0.097,73,25,3,3499,8,5,0,387
98,0.098,73,25,3,3499,8,5,0,387
99,0.099,72,25,4,3499,8,5,0,387
100,0.1,71,25,5,3499,8,5,0,387
101,0.2,69,23,7,3501,7,4,1,388
102,0.3,67,14,9,3510,7,3,1,389
103,0.4,64,10,12,3514,6,3,2,389
104,0.5,61,10,15,3514,6,2,2,390
