,threashold,tpTrain,fpTrain,fnTrain,tnTrain,tpTest,fpTest,fnTest,tnTest
0,0.0,19,881,0,0,2,98,0,0
1,0.001,19,881,0,0,2,98,0,0
2,0.002,19,881,0,0,2,98,0,0
3,0.003,19,881,0,0,2,98,0,0
4,0.004,19,881,0,0,2,98,0,0
5,0.005,19,881,0,0,2,98,0,0
6,0.006,19,881,0,0,2,98,0,0
7,0.007,19,881,0,0,2,98,0,0
8,0.008,19,881,0,0,2,98,0,0
9,0.009,19,881,0,0,2,98,0,0
10,0.01,19,881,0,0,2,98,0,0
11,0.011,19,881,0,0,2,98,0,0
12,0.012,19,881,0,0,2,98,0,0
13,0.013,19,881,0,0,2,98,0,0
14,0.014,19,881,0,0,2,98,0,0
15,0.015,19,881,0,0,2,98,0,0
16,0.016,19,881,0,0,2,98,0,0
17,0.017,19,881,0,0,2,98,0,0
18,0.018,19,881,0,0,2,98,0,0
19,0.019,19,881,0,0,2,98,0,0
20,0.02,19,881,0,0,2,98,0,0
21,0.021,19,881,0,0,2,98,0,0
22,0.022,19,881,0,0,2,98,0,0
23,0.023,19,881,0,0,2,98,0,0
24,0.024,19,881,0,0,2,98,0,0
25,0.025,19,881,0,0,2,98,0,0
26,0.026,19,875,0,6,2,97,0,1
27,0.027,17,730,2,151,2,80,0,18
28,0.028,13,510,6,371,2,56,0,42
29,0.029,9,400,10,481,2,45,0,53
30,0.03,7,329,12,552,2,39,0,59
31,0.031,7,294,12,587,2,33,0,65
32,0.032,6,213,13,668,2,24,0,74
33,0.033,6,172,13,709,2,17,0,81
34,0.034,5,141,14,740,2,14,0,84
35,0.035,5,122,14,759,2,10,0,88
36,0.036,4,101,15,780,2,9,0,89
37,0.037,2,79,17,802,1,7,1,91
38,0.038,1,62,18,819,1,3,1,95
39,0.039,1,50,18,831,0,2,2,96
40,0.04,1,45,18,836,0,2,2,96
41,0.041,1,37,18,844,0,2,2,96
42,0.042,1,34,18,847,0,2,2,96
43,0.043,1,32,18,849,0,2,2,96
44,0.044,1,32,18,849,0,2,2,96
45,0.045,1,32,18,849,0,2,2,96
46,0.046,0,30,19,851,0,2,2,96
47,0.047,0,25,19,856,0,1,2,97
48,0.048,0,23,19,858,0,1,2,97
49,0.049,0,21,19,860,0,1,2,97
50,0.05,0,17,19,864,0,1,2,97
51,0.051,0,9,19,872,0,1,2,97
52,0.052,0,6,19,875,0,1,2,97
53,0.053,0,6,19,875,0,1,2,97
54,0.054,0,5,19,876,0,1,2,97
55,0.055,0,4,19,877,0,1,2,97
56,0.056,0,3,19,878,0,1,2,97
57,0.057,0,3,19,878,0,1,2,97
58,0.058,0,1,19,880,0,0,2,98
59,0.059,0,1,19,880,0,0,2,98
60,0.06,0,1,19,880,0,0,2,98
61,0.061,0,1,19,880,0,0,2,98
62,0.062,0,1,19,880,0,0,2,98
63,0.063,0,0,19,881,0,0,2,98
64,0.064,0,0,19,881,0,0,2,98
65,0.065,0,0,19,881,0,0,2,98
66,0.066,0,0,19,881,0,0,2,98
67,0.067,0,0,19,881,0,0,2,98
68,0.068,0,0,19,881,0,0,2,98
69,0.069,0,0,19,881,0,0,2,98
70,0.07,0,0,19,881,0,0,2,98
71,0.071,0,0,19,881,0,0,2,98
72,0.072,0,0,19,881,0,0,2,98
73,0.073,0,0,19,881,0,0,2,98
74,0.074,0,0,19,881,0,0,2,98
75,0.075,0,0,19,881,0,0,2,98
76,0.076,0,0,19,881,0,0,2,98
77,0.077,0,0,19,881,0,0,2,98
78,0.078,0,0,19,881,0,0,2,98
79,0.079,0,0,19,881,0,0,2,98
80,0.08,0,0,19,881,0,0,2,98
81,0.081,0,0,19,881,0,0,2,98
82,0.082,0,0,19,881,0,0,2,98
83,0.083,0,0,19,881,0,0,2,98
84,0.084,0,0,19,881,0,0,2,98
85,0.085,0,0,19,881,0,0,2,98
86,0.086,0,0,19,881,0,0,2,98
87,0.087,0,0,19,881,0,0,2,98
88,0.088,0,0,19,881,0,0,2,98
89,0.089,0,0,19,881,0,0,2,98
90,0.09,0,0,19,881,0,0,2,98
91,0.091,0,0,19,881,0,0,2,98
92,0.092,0,0,19,881,0,0,2,98
93,0.093,0,0,19,881,0,0,2,98
94,0.094,0,0,19,881,0,0,2,98
95,0.095,0,0,19,881,0,0,2,98
96,0.096,0,0,19,881,0,0,2,98
97,0.097,0,0,19,881,0,0,2,98
98,0.098,0,0,19,881,0,0,2,98
99,0.099,0,0,19,881,0,0,2,98
100,0.1,0,0,19,881,0,0,2,98
101,0.2,0,0,19,881,0,0,2,98
102,0.3,0,0,19,881,0,0,2,98
103,0.4,0,0,19,881,0,0,2,98
104,0.5,0,0,19,881,0,0,2,98
