,threashold,tpTrain,fpTrain,fnTrain,tnTrain,tpTest,fpTest,fnTest,tnTest
0,0.0,19,881,0,0,2,98,0,0
1,0.001,19,881,0,0,2,98,0,0
2,0.002,19,881,0,0,2,98,0,0
3,0.003,19,881,0,0,2,98,0,0
4,0.004,19,881,0,0,2,98,0,0
5,0.005,19,881,0,0,2,98,0,0
6,0.006,19,881,0,0,2,98,0,0
7,0.007,19,881,0,0,2,98,0,0
8,0.008,19,881,0,0,2,98,0,0
9,0.009,19,881,0,0,2,98,0,0
10,0.01,19,881,0,0,2,98,0,0
11,0.011,19,881,0,0,2,98,0,0
12,0.012,19,881,0,0,2,98,0,0
13,0.013,19,881,0,0,2,98,0,0
14,0.014,19,881,0,0,2,98,0,0
15,0.015,19,881,0,0,2,98,0,0
16,0.016,19,881,0,0,2,98,0,0
17,0.017,19,881,0,0,2,98,0,0
18,0.018,19,881,0,0,2,98,0,0
19,0.019,19,881,0,0,2,98,0,0
20,0.02,19,881,0,0,2,98,0,0
21,0.021,19,881,0,0,2,98,0,0
22,0.022,19,881,0,0,2,98,0,0
23,0.023,19,881,0,0,2,98,0,0
24,0.024,19,881,0,0,2,98,0,0
25,0.025,19,881,0,0,2,98,0,0
26,0.026,15,688,4,193,2,79,0,19
27,0.027,7,308,12,573,2,34,0,64
28,0.028,1,83,18,798,2,9,0,89
29,0.029,1,60,18,821,2,8,0,90
30,0.03,1,53,18,828,2,5,0,93
31,0.031,0,51,19,830,2,4,0,94
32,0.032,0,45,19,836,2,2,0,96
33,0.033,0,43,19,838,2,1,0,97
34,0.034,0,42,19,839,2,1,0,97
35,0.035,0,41,19,840,2,1,0,97
36,0.036,0,41,19,840,1,1,1,97
37,0.037,0,40,19,841,1,1,1,97
38,0.038,0,39,19,842,0,1,2,97
39,0.039,0,37,19,844,0,1,2,97
40,0.04,0,37,19,844,0,1,2,97
41,0.041,0,36,19,845,0,1,2,97
42,0.042,0,36,19,845,0,1,2,97
43,0.043,0,36,19,845,0,1,2,97
44,0.044,0,34,19,847,0,1,2,97
45,0.045,0,32,19,849,0,1,2,97
46,0.046,0,27,19,854,0,1,2,97
47,0.047,0,22,19,859,0,0,2,98
48,0.048,0,18,19,863,0,0,2,98
49,0.049,0,16,19,865,0,0,2,98
50,0.05,0,15,19,866,0,0,2,98
51,0.051,0,15,19,866,0,0,2,98
52,0.052,0,13,19,868,0,0,2,98
53,0.053,0,13,19,868,0,0,2,98
54,0.054,0,12,19,869,0,0,2,98
55,0.055,0,11,19,870,0,0,2,98
56,0.056,0,9,19,872,0,0,2,98
57,0.057,0,8,19,873,0,0,2,98
58,0.058,0,7,19,874,0,0,2,98
59,0.059,0,7,19,874,0,0,2,98
60,0.06,0,6,19,875,0,0,2,98
61,0.061,0,6,19,875,0,0,2,98
62,0.062,0,5,19,876,0,0,2,98
63,0.063,0,5,19,876,0,0,2,98
64,0.064,0,5,19,876,0,0,2,98
65,0.065,0,5,19,876,0,0,2,98
66,0.066,0,4,19,877,0,0,2,98
67,0.067,0,4,19,877,0,0,2,98
68,0.068,0,4,19,877,0,0,2,98
69,0.069,0,4,19,877,0,0,2,98
70,0.07,0,3,19,878,0,0,2,98
71,0.071,0,2,19,879,0,0,2,98
72,0.072,0,0,19,881,0,0,2,98
73,0.073,0,0,19,881,0,0,2,98
74,0.074,0,0,19,881,0,0,2,98
75,0.075,0,0,19,881,0,0,2,98
76,0.076,0,0,19,881,0,0,2,98
77,0.077,0,0,19,881,0,0,2,98
78,0.078,0,0,19,881,0,0,2,98
79,0.079,0,0,19,881,0,0,2,98
80,0.08,0,0,19,881,0,0,2,98
81,0.081,0,0,19,881,0,0,2,98
82,0.082,0,0,19,881,0,0,2,98
83,0.083,0,0,19,881,0,0,2,98
84,0.084,0,0,19,881,0,0,2,98
85,0.085,0,0,19,881,0,0,2,98
86,0.086,0,0,19,881,0,0,2,98
87,0.087,0,0,19,881,0,0,2,98
88,0.088,0,0,19,881,0,0,2,98
89,0.089,0,0,19,881,0,0,2,98
90,0.09,0,0,19,881,0,0,2,98
91,0.091,0,0,19,881,0,0,2,98
92,0.092,0,0,19,881,0,0,2,98
93,0.093,0,0,19,881,0,0,2,98
94,0.094,0,0,19,881,0,0,2,98
95,0.095,0,0,19,881,0,0,2,98
96,0.096,0,0,19,881,0,0,2,98
97,0.097,0,0,19,881,0,0,2,98
98,0.098,0,0,19,881,0,0,2,98
99,0.099,0,0,19,881,0,0,2,98
100,0.1,0,0,19,881,0,0,2,98
101,0.2,0,0,19,881,0,0,2,98
102,0.3,0,0,19,881,0,0,2,98
103,0.4,0,0,19,881,0,0,2,98
104,0.5,0,0,19,881,0,0,2,98
