,threashold,tpTrain,fpTrain,fnTrain,tnTrain,tpTest,fpTest,fnTest,tnTest
0,0.0,38,1762,0,0,4,196,0,0
1,0.001,38,1762,0,0,4,196,0,0
2,0.002,38,1762,0,0,4,196,0,0
3,0.003,38,1762,0,0,4,196,0,0
4,0.004,38,1762,0,0,4,196,0,0
5,0.005,38,1762,0,0,4,196,0,0
6,0.006,38,1762,0,0,4,196,0,0
7,0.007,38,1762,0,0,4,196,0,0
8,0.008,38,1762,0,0,4,196,0,0
9,0.009,38,1762,0,0,4,196,0,0
10,0.01,38,1762,0,0,4,196,0,0
11,0.011,38,1762,0,0,4,196,0,0
12,0.012,38,1762,0,0,4,196,0,0
13,0.013,38,1762,0,0,4,196,0,0
14,0.014,38,1762,0,0,4,196,0,0
15,0.015,38,1762,0,0,4,196,0,0
16,0.016,38,1762,0,0,4,196,0,0
17,0.017,37,1749,1,13,4,195,0,1
18,0.018,22,1108,16,654,4,116,0,80
19,0.019,5,404,33,1358,4,49,0,147
20,0.02,5,251,33,1511,4,32,0,164
21,0.021,5,194,33,1568,4,25,0,171
22,0.022,5,180,33,1582,4,23,0,173
23,0.023,5,165,33,1597,4,19,0,177
24,0.024,5,131,33,1631,4,14,0,182
25,0.025,5,107,33,1655,4,8,0,188
26,0.026,5,80,33,1682,4,7,0,189
27,0.027,3,61,35,1701,4,6,0,190
28,0.028,3,49,35,1713,4,4,0,192
29,0.029,2,43,36,1719,3,4,1,192
30,0.03,2,36,36,1726,3,4,1,192
31,0.031,2,33,36,1729,3,3,1,193
32,0.032,2,31,36,1731,3,3,1,193
33,0.033,2,29,36,1733,3,2,1,194
34,0.034,2,27,36,1735,2,2,2,194
35,0.035,1,25,37,1737,2,2,2,194
36,0.036,1,25,37,1737,2,2,2,194
37,0.037,1,25,37,1737,2,2,2,194
38,0.038,1,24,37,1738,2,2,2,194
39,0.039,1,23,37,1739,2,1,2,195
40,0.04,1,23,37,1739,2,0,2,196
41,0.041,1,23,37,1739,2,0,2,196
42,0.042,1,22,37,1740,2,0,2,196
43,0.043,1,21,37,1741,2,0,2,196
44,0.044,1,20,37,1742,2,0,2,196
45,0.045,1,19,37,1743,2,0,2,196
46,0.046,1,18,37,1744,2,0,2,196
47,0.047,1,17,37,1745,2,0,2,196
48,0.048,1,13,37,1749,2,0,2,196
49,0.049,0,9,38,1753,2,0,2,196
50,0.05,0,8,38,1754,2,0,2,196
51,0.051,0,6,38,1756,2,0,2,196
52,0.052,0,3,38,1759,1,0,3,196
53,0.053,0,3,38,1759,1,0,3,196
54,0.054,0,2,38,1760,0,0,4,196
55,0.055,0,1,38,1761,0,0,4,196
56,0.056,0,1,38,1761,0,0,4,196
57,0.057,0,1,38,1761,0,0,4,196
58,0.058,0,0,38,1762,0,0,4,196
59,0.059,0,0,38,1762,0,0,4,196
60,0.06,0,0,38,1762,0,0,4,196
61,0.061,0,0,38,1762,0,0,4,196
62,0.062,0,0,38,1762,0,0,4,196
63,0.063,0,0,38,1762,0,0,4,196
64,0.064,0,0,38,1762,0,0,4,196
65,0.065,0,0,38,1762,0,0,4,196
66,0.066,0,0,38,1762,0,0,4,196
67,0.067,0,0,38,1762,0,0,4,196
68,0.068,0,0,38,1762,0,0,4,196
69,0.069,0,0,38,1762,0,0,4,196
70,0.07,0,0,38,1762,0,0,4,196
71,0.071,0,0,38,1762,0,0,4,196
72,0.072,0,0,38,1762,0,0,4,196
73,0.073,0,0,38,1762,0,0,4,196
74,0.074,0,0,38,1762,0,0,4,196
75,0.075,0,0,38,1762,0,0,4,196
76,0.076,0,0,38,1762,0,0,4,196
77,0.077,0,0,38,1762,0,0,4,196
78,0.078,0,0,38,1762,0,0,4,196
79,0.079,0,0,38,1762,0,0,4,196
80,0.08,0,0,38,1762,0,0,4,196
81,0.081,0,0,38,1762,0,0,4,196
82,0.082,0,0,38,1762,0,0,4,196
83,0.083,0,0,38,1762,0,0,4,196
84,0.084,0,0,38,1762,0,0,4,196
85,0.085,0,0,38,1762,0,0,4,196
86,0.086,0,0,38,1762,0,0,4,196
87,0.087,0,0,38,1762,0,0,4,196
88,0.088,0,0,38,1762,0,0,4,196
89,0.089,0,0,38,1762,0,0,4,196
90,0.09,0,0,38,1762,0,0,4,196
91,0.091,0,0,38,1762,0,0,4,196
92,0.092,0,0,38,1762,0,0,4,196
93,0.093,0,0,38,1762,0,0,4,196
94,0.094,0,0,38,1762,0,0,4,196
95,0.095,0,0,38,1762,0,0,4,196
96,0.096,0,0,38,1762,0,0,4,196
97,0.097,0,0,38,1762,0,0,4,196
98,0.098,0,0,38,1762,0,0,4,196
99,0.099,0,0,38,1762,0,0,4,196
100,0.1,0,0,38,1762,0,0,4,196
101,0.2,0,0,38,1762,0,0,4,196
102,0.3,0,0,38,1762,0,0,4,196
103,0.4,0,0,38,1762,0,0,4,196
104,0.5,0,0,38,1762,0,0,4,196
