,threashold,tpTrain,fpTrain,fnTrain,tnTrain,tpTest,fpTest,fnTest,tnTest
0,0.0,19,881,0,0,2,98,0,0
1,0.001,19,881,0,0,2,98,0,0
2,0.002,19,881,0,0,2,98,0,0
3,0.003,19,881,0,0,2,98,0,0
4,0.004,19,881,0,0,2,98,0,0
5,0.005,19,881,0,0,2,98,0,0
6,0.006,19,881,0,0,2,98,0,0
7,0.007,19,881,0,0,2,98,0,0
8,0.008,19,881,0,0,2,98,0,0
9,0.009,19,881,0,0,2,98,0,0
10,0.01,19,881,0,0,2,98,0,0
11,0.011,19,881,0,0,2,98,0,0
12,0.012,19,881,0,0,2,98,0,0
13,0.013,19,881,0,0,2,98,0,0
14,0.014,19,881,0,0,2,98,0,0
15,0.015,19,881,0,0,2,98,0,0
16,0.016,19,881,0,0,2,98,0,0
17,0.017,19,881,0,0,2,98,0,0
18,0.018,19,881,0,0,2,98,0,0
19,0.019,19,881,0,0,2,98,0,0
20,0.02,19,881,0,0,2,98,0,0
21,0.021,19,881,0,0,2,98,0,0
22,0.022,19,881,0,0,2,98,0,0
23,0.023,19,881,0,0,2,98,0,0
24,0.024,19,881,0,0,2,98,0,0
25,0.025,18,804,1,77,2,89,0,9
26,0.026,13,637,6,244,1,71,1,27
27,0.027,11,516,8,365,0,59,2,39
28,0.028,10,454,9,427,0,52,2,46
29,0.029,6,373,13,508,0,39,2,59
30,0.03,6,302,13,579,0,35,2,63
31,0.031,6,241,13,640,0,24,2,74
32,0.032,6,194,13,687,0,24,2,74
33,0.033,6,170,13,711,0,17,2,81
34,0.034,5,137,14,744,0,11,2,87
35,0.035,4,97,15,784,0,10,2,88
36,0.036,4,76,15,805,0,9,2,89
37,0.037,4,61,15,820,0,9,2,89
38,0.038,4,44,15,837,0,7,2,91
39,0.039,3,32,16,849,0,6,2,92
40,0.04,2,22,17,859,0,4,2,94
41,0.041,0,11,19,870,0,3,2,95
42,0.042,0,10,19,871,0,3,2,95
43,0.043,0,10,19,871,0,3,2,95
44,0.044,0,10,19,871,0,3,2,95
45,0.045,0,9,19,872,0,3,2,95
46,0.046,0,9,19,872,0,3,2,95
47,0.047,0,9,19,872,0,3,2,95
48,0.048,0,9,19,872,0,3,2,95
49,0.049,0,9,19,872,0,3,2,95
50,0.05,0,8,19,873,0,2,2,96
51,0.051,0,7,19,874,0,1,2,97
52,0.052,0,7,19,874,0,1,2,97
53,0.053,0,7,19,874,0,1,2,97
54,0.054,0,7,19,874,0,1,2,97
55,0.055,0,6,19,875,0,1,2,97
56,0.056,0,6,19,875,0,1,2,97
57,0.057,0,6,19,875,0,1,2,97
58,0.058,0,6,19,875,0,1,2,97
59,0.059,0,6,19,875,0,1,2,97
60,0.06,0,6,19,875,0,1,2,97
61,0.061,0,6,19,875,0,1,2,97
62,0.062,0,5,19,876,0,1,2,97
63,0.063,0,5,19,876,0,1,2,97
64,0.064,0,5,19,876,0,1,2,97
65,0.065,0,5,19,876,0,0,2,98
66,0.066,0,5,19,876,0,0,2,98
67,0.067,0,5,19,876,0,0,2,98
68,0.068,0,5,19,876,0,0,2,98
69,0.069,0,5,19,876,0,0,2,98
70,0.07,0,5,19,876,0,0,2,98
71,0.071,0,5,19,876,0,0,2,98
72,0.072,0,5,19,876,0,0,2,98
73,0.073,0,5,19,876,0,0,2,98
74,0.074,0,5,19,876,0,0,2,98
75,0.075,0,5,19,876,0,0,2,98
76,0.076,0,5,19,876,0,0,2,98
77,0.077,0,4,19,877,0,0,2,98
78,0.078,0,3,19,878,0,0,2,98
79,0.079,0,3,19,878,0,0,2,98
80,0.08,0,3,19,878,0,0,2,98
81,0.081,0,3,19,878,0,0,2,98
82,0.082,0,2,19,879,0,0,2,98
83,0.083,0,2,19,879,0,0,2,98
84,0.084,0,2,19,879,0,0,2,98
85,0.085,0,2,19,879,0,0,2,98
86,0.086,0,2,19,879,0,0,2,98
87,0.087,0,2,19,879,0,0,2,98
88,0.088,0,2,19,879,0,0,2,98
89,0.089,0,2,19,879,0,0,2,98
90,0.09,0,1,19,880,0,0,2,98
91,0.091,0,1,19,880,0,0,2,98
92,0.092,0,0,19,881,0,0,2,98
93,0.093,0,0,19,881,0,0,2,98
94,0.094,0,0,19,881,0,0,2,98
95,0.095,0,0,19,881,0,0,2,98
96,0.096,0,0,19,881,0,0,2,98
97,0.097,0,0,19,881,0,0,2,98
98,0.098,0,0,19,881,0,0,2,98
99,0.099,0,0,19,881,0,0,2,98
100,0.1,0,0,19,881,0,0,2,98
101,0.2,0,0,19,881,0,0,2,98
102,0.3,0,0,19,881,0,0,2,98
103,0.4,0,0,19,881,0,0,2,98
104,0.5,0,0,19,881,0,0,2,98
