,threashold,tpTrain,fpTrain,fnTrain,tnTrain,tpTest,fpTest,fnTest,tnTest
0,0.0,19,881,0,0,2,98,0,0
1,0.001,19,881,0,0,2,98,0,0
2,0.002,19,881,0,0,2,98,0,0
3,0.003,19,881,0,0,2,98,0,0
4,0.004,19,881,0,0,2,98,0,0
5,0.005,19,881,0,0,2,98,0,0
6,0.006,19,881,0,0,2,98,0,0
7,0.007,19,881,0,0,2,98,0,0
8,0.008,19,881,0,0,2,98,0,0
9,0.009,19,881,0,0,2,98,0,0
10,0.01,19,881,0,0,2,98,0,0
11,0.011,19,881,0,0,2,98,0,0
12,0.012,19,881,0,0,2,98,0,0
13,0.013,19,881,0,0,2,98,0,0
14,0.014,19,881,0,0,2,98,0,0
15,0.015,19,881,0,0,2,98,0,0
16,0.016,19,881,0,0,2,98,0,0
17,0.017,19,881,0,0,2,98,0,0
18,0.018,19,881,0,0,2,98,0,0
19,0.019,19,881,0,0,2,98,0,0
20,0.02,19,881,0,0,2,98,0,0
21,0.021,19,881,0,0,2,98,0,0
22,0.022,19,881,0,0,2,98,0,0
23,0.023,19,881,0,0,2,98,0,0
24,0.024,19,881,0,0,2,98,0,0
25,0.025,19,880,0,1,2,98,0,0
26,0.026,19,855,0,26,2,95,0,3
27,0.027,15,709,4,172,2,82,0,16
28,0.028,8,496,11,385,2,58,0,40
29,0.029,4,263,15,618,2,27,0,71
30,0.03,3,204,16,677,2,20,0,78
31,0.031,3,188,16,693,2,17,0,81
32,0.032,2,176,17,705,2,16,0,82
33,0.033,2,161,17,720,2,15,0,83
34,0.034,2,144,17,737,2,14,0,84
35,0.035,2,116,17,765,2,10,0,88
36,0.036,2,93,17,788,2,5,0,93
37,0.037,2,80,17,801,2,3,0,95
38,0.038,2,68,17,813,2,3,0,95
39,0.039,2,62,17,819,2,2,0,96
40,0.04,2,56,17,825,2,2,0,96
41,0.041,1,53,18,828,2,2,0,96
42,0.042,1,49,18,832,2,2,0,96
43,0.043,0,48,19,833,2,2,0,96
44,0.044,0,45,19,836,2,1,0,97
45,0.045,0,40,19,841,2,0,0,98
46,0.046,0,36,19,845,2,0,0,98
47,0.047,0,35,19,846,2,0,0,98
48,0.048,0,32,19,849,2,0,0,98
49,0.049,0,30,19,851,2,0,0,98
50,0.05,0,30,19,851,2,0,0,98
51,0.051,0,28,19,853,2,0,0,98
52,0.052,0,28,19,853,2,0,0,98
53,0.053,0,28,19,853,2,0,0,98
54,0.054,0,27,19,854,2,0,0,98
55,0.055,0,27,19,854,2,0,0,98
56,0.056,0,26,19,855,2,0,0,98
57,0.057,0,26,19,855,2,0,0,98
58,0.058,0,26,19,855,2,0,0,98
59,0.059,0,26,19,855,2,0,0,98
60,0.06,0,26,19,855,2,0,0,98
61,0.061,0,24,19,857,2,0,0,98
62,0.062,0,24,19,857,2,0,0,98
63,0.063,0,24,19,857,2,0,0,98
64,0.064,0,24,19,857,2,0,0,98
65,0.065,0,24,19,857,2,0,0,98
66,0.066,0,23,19,858,2,0,0,98
67,0.067,0,23,19,858,2,0,0,98
68,0.068,0,23,19,858,2,0,0,98
69,0.069,0,20,19,861,2,0,0,98
70,0.07,0,19,19,862,2,0,0,98
71,0.071,0,19,19,862,2,0,0,98
72,0.072,0,18,19,863,1,0,1,98
73,0.073,0,18,19,863,1,0,1,98
74,0.074,0,16,19,865,1,0,1,98
75,0.075,0,15,19,866,1,0,1,98
76,0.076,0,15,19,866,1,0,1,98
77,0.077,0,13,19,868,1,0,1,98
78,0.078,0,12,19,869,1,0,1,98
79,0.079,0,11,19,870,1,0,1,98
80,0.08,0,11,19,870,1,0,1,98
81,0.081,0,8,19,873,1,0,1,98
82,0.082,0,8,19,873,1,0,1,98
83,0.083,0,6,19,875,1,0,1,98
84,0.084,0,5,19,876,1,0,1,98
85,0.085,0,5,19,876,1,0,1,98
86,0.086,0,5,19,876,1,0,1,98
87,0.087,0,3,19,878,1,0,1,98
88,0.088,0,2,19,879,1,0,1,98
89,0.089,0,1,19,880,1,0,1,98
90,0.09,0,1,19,880,1,0,1,98
91,0.091,0,1,19,880,0,0,2,98
92,0.092,0,0,19,881,0,0,2,98
93,0.093,0,0,19,881,0,0,2,98
94,0.094,0,0,19,881,0,0,2,98
95,0.095,0,0,19,881,0,0,2,98
96,0.096,0,0,19,881,0,0,2,98
97,0.097,0,0,19,881,0,0,2,98
98,0.098,0,0,19,881,0,0,2,98
99,0.099,0,0,19,881,0,0,2,98
100,0.1,0,0,19,881,0,0,2,98
101,0.2,0,0,19,881,0,0,2,98
102,0.3,0,0,19,881,0,0,2,98
103,0.4,0,0,19,881,0,0,2,98
104,0.5,0,0,19,881,0,0,2,98
