,threashold,tpTrain,fpTrain,fnTrain,tnTrain,tpTest,fpTest,fnTest,tnTest
0,0.0,19,881,0,0,2,98,0,0
1,0.001,19,881,0,0,2,98,0,0
2,0.002,19,881,0,0,2,98,0,0
3,0.003,19,881,0,0,2,98,0,0
4,0.004,19,881,0,0,2,98,0,0
5,0.005,19,881,0,0,2,98,0,0
6,0.006,19,881,0,0,2,98,0,0
7,0.007,19,881,0,0,2,98,0,0
8,0.008,19,881,0,0,2,98,0,0
9,0.009,19,881,0,0,2,98,0,0
10,0.01,19,881,0,0,2,98,0,0
11,0.011,19,881,0,0,2,98,0,0
12,0.012,19,881,0,0,2,98,0,0
13,0.013,19,881,0,0,2,98,0,0
14,0.014,19,881,0,0,2,98,0,0
15,0.015,19,881,0,0,2,98,0,0
16,0.016,19,881,0,0,2,98,0,0
17,0.017,19,881,0,0,2,98,0,0
18,0.018,19,881,0,0,2,98,0,0
19,0.019,19,880,0,1,2,98,0,0
20,0.02,19,870,0,11,2,98,0,0
21,0.021,19,860,0,21,2,96,0,2
22,0.022,19,838,0,43,2,95,0,3
23,0.023,17,817,2,64,2,95,0,3
24,0.024,16,796,3,85,2,90,0,8
25,0.025,16,779,3,102,2,90,0,8
26,0.026,15,744,4,137,2,85,0,13
27,0.027,14,712,5,169,2,81,0,17
28,0.028,14,687,5,194,2,78,0,20
29,0.029,12,661,7,220,2,70,0,28
30,0.03,12,630,7,251,2,69,0,29
31,0.031,12,607,7,274,2,66,0,32
32,0.032,12,574,7,307,2,62,0,36
33,0.033,12,528,7,353,2,59,0,39
34,0.034,12,489,7,392,1,58,1,40
35,0.035,12,442,7,439,0,49,2,49
36,0.036,9,349,10,532,0,39,2,59
37,0.037,7,254,12,627,0,30,2,68
38,0.038,5,183,14,698,0,26,2,72
39,0.039,4,127,15,754,0,16,2,82
40,0.04,4,94,15,787,0,14,2,84
41,0.041,1,52,18,829,0,3,2,95
42,0.042,1,24,18,857,0,0,2,98
43,0.043,0,8,19,873,0,0,2,98
44,0.044,0,4,19,877,0,0,2,98
45,0.045,0,3,19,878,0,0,2,98
46,0.046,0,0,19,881,0,0,2,98
47,0.047,0,0,19,881,0,0,2,98
48,0.048,0,0,19,881,0,0,2,98
49,0.049,0,0,19,881,0,0,2,98
50,0.05,0,0,19,881,0,0,2,98
51,0.051,0,0,19,881,0,0,2,98
52,0.052,0,0,19,881,0,0,2,98
53,0.053,0,0,19,881,0,0,2,98
54,0.054,0,0,19,881,0,0,2,98
55,0.055,0,0,19,881,0,0,2,98
56,0.056,0,0,19,881,0,0,2,98
57,0.057,0,0,19,881,0,0,2,98
58,0.058,0,0,19,881,0,0,2,98
59,0.059,0,0,19,881,0,0,2,98
60,0.06,0,0,19,881,0,0,2,98
61,0.061,0,0,19,881,0,0,2,98
62,0.062,0,0,19,881,0,0,2,98
63,0.063,0,0,19,881,0,0,2,98
64,0.064,0,0,19,881,0,0,2,98
65,0.065,0,0,19,881,0,0,2,98
66,0.066,0,0,19,881,0,0,2,98
67,0.067,0,0,19,881,0,0,2,98
68,0.068,0,0,19,881,0,0,2,98
69,0.069,0,0,19,881,0,0,2,98
70,0.07,0,0,19,881,0,0,2,98
71,0.071,0,0,19,881,0,0,2,98
72,0.072,0,0,19,881,0,0,2,98
73,0.073,0,0,19,881,0,0,2,98
74,0.074,0,0,19,881,0,0,2,98
75,0.075,0,0,19,881,0,0,2,98
76,0.076,0,0,19,881,0,0,2,98
77,0.077,0,0,19,881,0,0,2,98
78,0.078,0,0,19,881,0,0,2,98
79,0.079,0,0,19,881,0,0,2,98
80,0.08,0,0,19,881,0,0,2,98
81,0.081,0,0,19,881,0,0,2,98
82,0.082,0,0,19,881,0,0,2,98
83,0.083,0,0,19,881,0,0,2,98
84,0.084,0,0,19,881,0,0,2,98
85,0.085,0,0,19,881,0,0,2,98
86,0.086,0,0,19,881,0,0,2,98
87,0.087,0,0,19,881,0,0,2,98
88,0.088,0,0,19,881,0,0,2,98
89,0.089,0,0,19,881,0,0,2,98
90,0.09,0,0,19,881,0,0,2,98
91,0.091,0,0,19,881,0,0,2,98
92,0.092,0,0,19,881,0,0,2,98
93,0.093,0,0,19,881,0,0,2,98
94,0.094,0,0,19,881,0,0,2,98
95,0.095,0,0,19,881,0,0,2,98
96,0.096,0,0,19,881,0,0,2,98
97,0.097,0,0,19,881,0,0,2,98
98,0.098,0,0,19,881,0,0,2,98
99,0.099,0,0,19,881,0,0,2,98
100,0.1,0,0,19,881,0,0,2,98
101,0.2,0,0,19,881,0,0,2,98
102,0.3,0,0,19,881,0,0,2,98
103,0.4,0,0,19,881,0,0,2,98
104,0.5,0,0,19,881,0,0,2,98
